(1, 37102.949999999997)
(0, 303446.76000000001)
(6, 144770.04999999999)
(7, 984269.26000000001)
(2, 2710287.4300000002)
(5, 4179.4700000000003)
(3, 80940.150000000009)
(4, 83365.359999999986)
(8, 219.04999999999998)
(10, 25223.439999999995)
(12, 63106.900000000001)
(9, 48092.800000000003)
(11, 358846.52000000002)
(14, 903.15999999999997)
(13, 193424.43000000002)
(15, 207228.98000000001)
(18, 63008.650000000001)
(17, 16319.189999999999)
(16, 609000.63)
(20, 106115.08)
(19, 46744.25)
(21, 98177.520000000004)
(23, 15320.0)
(24, 17444.48)
(29, 44933.69999999999)
(22, 5381.3500000000004)
(25, 6320.8199999999997)
(28, 2861.5500000000002)
(27, 147891.04999999999)
(26, 44327.900000000001)
(30, 13229.84)
(34, 95967.639999999999)
(31, 21184.150000000001)
(32, 317814.15999999997)
(33, 694967.39999999991)
(37, 815546.09999999998)
(35, 15996.08)
(38, 608842.04000000004)
(36, 282982.94999999995)
(41, 2968.0100000000002)
(42, 153329.76000000001)
(40, 9957.7900000000009)
(39, 74.900000000000006)
(43, 33987.160000000003)
(44, 2038.7999999999997)
(45, 15156.6)
(46, 362527.88000000006)
(47, 635556.65000000002)
(48, 400.34999999999997)
(49, 323295.04000000004)
(50, 507106.70000000007)
(51, 240626.38)
(55, 320188.40000000002)
(53, 2627080.1999999997)
(57, 219491.19999999998)
(56, 457368.20000000001)
(52, 37137.5)
(54, 29088.199999999997)
(59, 377.48000000000002)
(58, 203333.14000000001)
(60, 2883461.9500000002)
(62, 2736.5)
(61, 174095.57000000001)
(65, 40934.470000000001)
(63, 90312.279999999999)
(64, 15775.25)
(66, 3661.3900000000003)
(69, 42205.479999999996)
(71, 487.80000000000001)
(68, 16653.200000000001)
(67, 15258.0)
(73, 25749.639999999999)
(72, 27533.480000000003)
(74, 716730.71999999997)
(70, 1271.3200000000002)
(75, 10099.5)
(78, 233363.76000000001)
(79, 1530167.8300000001)
(77, 250800.44)
(76, 1807.48)
(81, 2199.2399999999998)
(86, 17453.16)
(80, 283373.95000000001)
(82, 704189.28000000003)
(87, 90051.700000000012)
(88, 21265.5)
(85, 36247.199999999997)
(83, 4653.75)
(84, 339825.0)
(89, 2275.1700000000001)
(90, 32361.34)
(91, 8668.75)
(92, 1923.6499999999999)
(93, 42451.5)
(94, 50111.229999999996)
(95, 13840.950000000003)
(96, 20082.52)
(98, 6023.8800000000001)
(97, 992.15000000000009)
(99, 6106.7000000000007)
(100, 545150.77000000002)
(101, 14547.459999999999)
(102, 110294.23999999999)
(103, 248709.23999999999)
(104, 33488.939999999995)
(107, 2683.7499999999995)
(105, 7961.9500000000007)
(106, 302055.32999999996)
(112, 304590.5)
(108, 2553.5599999999999)
(111, 2644096.8799999999)
(109, 7279.8099999999995)
(114, 95584.020000000004)
(110, 63429.720000000001)
(115, 135519.25)
(113, 96440.559999999998)
(117, 5170.75)
(118, 62376.099999999999)
(116, 5601.0)
(119, 4388.2800000000007)
(120, 11943.200000000001)
(121, 72511.680000000008)
(122, 4220790.5600000005)
(123, 11663.200000000001)
(127, 16914.0)
(124, 40412.25)
(126, 217977.91999999998)
(125, 262628.35999999999)
(129, 68063.200000000012)
(131, 763031.10999999999)
(128, 9594.8400000000001)
(130, 16775.349999999999)
(132, 422747.69999999995)
(134, 5607.25)
(133, 380250.64000000001)
(135, 37153.599999999999)
(136, 4810.8199999999997)
(137, 4167.5500000000002)
(142, 39966.959999999999)
(140, 7346.0)
(138, 1921015.9399999999)
(139, 106900.56000000001)
(141, 93483.299999999988)
(147, 1446259.98)
(143, 469428.65000000002)
(145, 526.45000000000005)
(146, 10283.0)
(144, 2110218.1199999996)
(148, 23375.629999999997)
(149, 39970.5)
(150, 33088.5)
(152, 651.0)
(153, 9218.1200000000008)
(151, 12846.599999999999)
(155, 840874.27999999991)
(156, 101619.04000000001)
(154, 170886.38999999998)
(159, 1100669.4399999999)
(160, 42152.900000000001)
(157, 6481.9599999999991)
(158, 57053.219999999994)
(162, 4109276.7999999998)
(161, 5512.1000000000004)
(164, 64285.5)
(163, 374976.06)
(165, 720.15000000000009)
(167, 24019.0)
(166, 1226.75)
(168, 217555.80000000002)
(170, 48498.800000000003)
(172, 7487.4999999999991)
(169, 6499.1999999999998)
(176, 60557.610000000001)
(173, 454.27999999999997)
(171, 256077.79999999999)
(175, 27489.299999999999)
(174, 126648.2)
(178, 199620.88)
(177, 2864.25)
(179, 144876.67999999999)
(180, 51117.729999999996)
(182, 272612.0)
(181, 157070.60000000001)
(184, 181556.51000000001)
(186, 209717.44999999998)
(183, 86666.0)
(187, 1559830.6500000001)
(185, 140887.60000000001)
(188, 407423.12000000005)
(189, 67561.040000000008)
(191, 17683.0)
(190, 10641.65)
(193, 51824.919999999998)
(192, 344340.59999999998)
(194, 1385.75)
(195, 1168418.1499999999)
(196, 556.95000000000005)
(197, 233607.79999999999)
(199, 38114.970000000001)
(200, 176387.38)
(198, 17775.559999999998)
(201, 216575.40000000002)
(202, 10980.459999999999)
(204, 18769.059999999998)
(206, 369989.91999999998)
(203, 34698.669999999998)
(207, 14652.15)
(205, 273281.5)
(209, 281267.85999999999)
(208, 7841.4399999999996)
(210, 9707.6499999999996)
(211, 160785.90000000002)
(212, 45977.150000000001)
(213, 287689.35999999999)
(217, 6130.71)
(214, 38156.610000000001)
(216, 52681.099999999999)
(215, 13984.690000000001)
(221, 158913.04999999999)
(222, 20817.049999999996)
(218, 69009.949999999997)
(220, 205348.31)
(219, 85782.649999999994)
(224, 149899.75)
(223, 219886.70000000001)
(225, 17358.700000000001)
(226, 11383.030000000002)
(227, 22762.349999999999)
(228, 500117.5)
(231, 150284.73000000001)
(229, 119709.92)
(230, 153608.70999999999)
(232, 264488.04000000004)
